/Users/velocityworks/PycharmProjects/z_metric/.venv/bin/python /Users/velocityworks/PycharmProjects/z_metric/src/main/sandbox/main.py
🚀 Bootstrapping 360-prime wheel...
✅ Wheel initialized with 360 primes (up to 2423)
🌟 COLLISION! Prime 2767 at position 247 (collision #43)
🌟 COLLISION! Prime 2777 at position 257 (collision #44)
🌟 COLLISION! Prime 2789 at position 269 (collision #45)
🌟 COLLISION! Prime 2791 at position 271 (collision #46)
🌟 COLLISION! Prime 2797 at position 277 (collision #47)
🌟 COLLISION! Prime 2801 at position 281 (collision #48)
🌟 COLLISION! Prime 2803 at position 283 (collision #49)
🌟 COLLISION! Prime 2819 at position 299 (collision #50)
🌟 COLLISION! Prime 2833 at position 313 (collision #51)
🌟 COLLISION! Prime 2837 at position 317 (collision #52)
🌟 COLLISION! Prime 2843 at position 323 (collision #53)
🌟 COLLISION! Prime 2851 at position 331 (collision #54)
🌟 COLLISION! Prime 2857 at position 337 (collision #55)
🌟 COLLISION! Prime 2861 at position 341 (collision #56)
🌟 COLLISION! Prime 2879 at position 359 (collision #57)
🌟 COLLISION! Prime 2887 at position 7 (collision #58)
🌟 COLLISION! Prime 2897 at position 17 (collision #59)
🌟 COLLISION! Prime 2903 at position 23 (collision #60)
🌟 COLLISION! Prime 2909 at position 29 (collision #61)
🌟 COLLISION! Prime 2917 at position 37 (collision #62)
🌟 COLLISION! Prime 2927 at position 47 (collision #63)
🌟 COLLISION! Prime 2939 at position 59 (collision #64)
🌟 COLLISION! Prime 2953 at position 73 (collision #65)
🌟 COLLISION! Prime 2957 at position 77 (collision #66)
🌟 COLLISION! Prime 2963 at position 83 (collision #67)
🌟 COLLISION! Prime 2969 at position 89 (collision #68)
🌟 COLLISION! Prime 2971 at position 91 (collision #69)
🌟 COLLISION! Prime 2999 at position 119 (collision #70)
🌟 COLLISION! Prime 3001 at position 121 (collision #71)
🌟 COLLISION! Prime 3011 at position 131 (collision #72)
🌟 COLLISION! Prime 3019 at position 139 (collision #73)
🌟 COLLISION! Prime 3023 at position 143 (collision #74)
🌟 COLLISION! Prime 3037 at position 157 (collision #75)
🌟 COLLISION! Prime 3041 at position 161 (collision #76)
🌟 COLLISION! Prime 3049 at position 169 (collision #77)
🌟 COLLISION! Prime 3061 at position 181 (collision #78)
🌟 COLLISION! Prime 3067 at position 187 (collision #79)
🌟 COLLISION! Prime 3079 at position 199 (collision #80)
🌟 COLLISION! Prime 3083 at position 203 (collision #81)
🌟 COLLISION! Prime 3089 at position 209 (collision #82)
🌟 COLLISION! Prime 3109 at position 229 (collision #83)
🌟 COLLISION! Prime 3119 at position 239 (collision #84)
🌟 COLLISION! Prime 3121 at position 241 (collision #85)
🌟 COLLISION! Prime 3137 at position 257 (collision #86)
🌟 COLLISION! Prime 3163 at position 283 (collision #87)
🌟 COLLISION! Prime 3167 at position 287 (collision #88)
🌟 COLLISION! Prime 3169 at position 289 (collision #89)
🌟 COLLISION! Prime 3181 at position 301 (collision #90)
