/Users/velocityworks/PycharmProjects/z_metric/.venv/bin/python /Users/velocityworks/PycharmProjects/z_metric/src/main/sandbox/main.py
🚀 Bootstrapping 360-prime wheel...
✅ Wheel initialized with 360 primes (up to 2423)
🌟 COLLISION! Prime 14537 at position 137 (collision #1335)
🌟 COLLISION! Prime 14543 at position 143 (collision #1336)
🌟 COLLISION! Prime 14549 at position 149 (collision #1337)
🌟 COLLISION! Prime 14551 at position 151 (collision #1338)
🌟 COLLISION! Prime 14557 at position 157 (collision #1339)
🌟 COLLISION! Prime 14561 at position 161 (collision #1340)
🌟 COLLISION! Prime 14563 at position 163 (collision #1341)
🌟 COLLISION! Prime 14591 at position 191 (collision #1342)
🌟 COLLISION! Prime 14593 at position 193 (collision #1343)
🌟 COLLISION! Prime 14621 at position 221 (collision #1344)
🌟 COLLISION! Prime 14627 at position 227 (collision #1345)
🌟 COLLISION! Prime 14629 at position 229 (collision #1346)
🌟 COLLISION! Prime 14633 at position 233 (collision #1347)
🌟 COLLISION! Prime 14639 at position 239 (collision #1348)
🌟 COLLISION! Prime 14653 at position 253 (collision #1349)
🌟 COLLISION! Prime 14657 at position 257 (collision #1350)
🌟 COLLISION! Prime 14669 at position 269 (collision #1351)
🌟 COLLISION! Prime 14683 at position 283 (collision #1352)
🌟 COLLISION! Prime 14699 at position 299 (collision #1353)
🌟 COLLISION! Prime 14713 at position 313 (collision #1354)
🌟 COLLISION! Prime 14717 at position 317 (collision #1355)
🌟 COLLISION! Prime 14723 at position 323 (collision #1356)
🌟 COLLISION! Prime 14731 at position 331 (collision #1357)
🌟 COLLISION! Prime 14737 at position 337 (collision #1358)
🌟 COLLISION! Prime 14741 at position 341 (collision #1359)
🌟 COLLISION! Prime 14747 at position 347 (collision #1360)
🌟 COLLISION! Prime 14753 at position 353 (collision #1361)
🌟 COLLISION! Prime 14759 at position 359 (collision #1362)
🌟 COLLISION! Prime 14767 at position 7 (collision #1363)
🌟 COLLISION! Prime 14771 at position 11 (collision #1364)
🌟 COLLISION! Prime 14779 at position 19 (collision #1365)
🌟 COLLISION! Prime 14783 at position 23 (collision #1366)
🌟 COLLISION! Prime 14797 at position 37 (collision #1367)
🌟 COLLISION! Prime 14813 at position 53 (collision #1368)
🌟 COLLISION! Prime 14821 at position 61 (collision #1369)
🌟 COLLISION! Prime 14827 at position 67 (collision #1370)
🌟 COLLISION! Prime 14831 at position 71 (collision #1371)
🌟 COLLISION! Prime 14843 at position 83 (collision #1372)
🌟 COLLISION! Prime 14851 at position 91 (collision #1373)
🌟 COLLISION! Prime 14867 at position 107 (collision #1374)
🌟 COLLISION! Prime 14869 at position 109 (collision #1375)
🌟 COLLISION! Prime 14879 at position 119 (collision #1376)
🌟 COLLISION! Prime 14887 at position 127 (collision #1377)
🌟 COLLISION! Prime 14891 at position 131 (collision #1378)
🌟 COLLISION! Prime 14897 at position 137 (collision #1379)
🌟 COLLISION! Prime 14923 at position 163 (collision #1380)
🌟 COLLISION! Prime 14929 at position 169 (collision #1381)
🌟 COLLISION! Prime 14939 at position 179 (collision #1382)
🌟 COLLISION! Prime 14947 at position 187 (collision #1383)
🌟 COLLISION! Prime 14951 at position 191 (collision #1384)
🌟 COLLISION! Prime 14957 at position 197 (collision #1385)
🌟 COLLISION! Prime 14969 at position 209 (collision #1386)
🌟 COLLISION! Prime 14983 at position 223 (collision #1387)
🌟 COLLISION! Prime 15013 at position 253 (collision #1388)
🌟 COLLISION! Prime 15017 at position 257 (collision #1389)
🌟 COLLISION! Prime 15031 at position 271 (collision #1390)
🌟 COLLISION! Prime 15053 at position 293 (collision #1391)
🌟 COLLISION! Prime 15061 at position 301 (collision #1392)
🌟 COLLISION! Prime 15073 at position 313 (collision #1393)
🌟 COLLISION! Prime 15077 at position 317 (collision #1394)
🌟 COLLISION! Prime 15083 at position 323 (collision #1395)
🌟 COLLISION! Prime 15091 at position 331 (collision #1396)
🌟 COLLISION! Prime 15101 at position 341 (collision #1397)
🌟 COLLISION! Prime 15107 at position 347 (collision #1398)
🌟 COLLISION! Prime 15121 at position 1 (collision #1399)
🌟 COLLISION! Prime 15131 at position 11 (collision #1400)
🌟 COLLISION! Prime 15137 at position 17 (collision #1401)
🌟 COLLISION! Prime 15139 at position 19 (collision #1402)
🌟 COLLISION! Prime 15149 at position 29 (collision #1403)
🌟 COLLISION! Prime 15161 at position 41 (collision #1404)
🌟 COLLISION! Prime 15173 at position 53 (collision #1405)
🌟 COLLISION! Prime 15187 at position 67 (collision #1406)
🌟 COLLISION! Prime 15193 at position 73 (collision #1407)
🌟 COLLISION! Prime 15199 at position 79 (collision #1408)
🌟 COLLISION! Prime 15217 at position 97 (collision #1409)
🌟 COLLISION! Prime 15227 at position 107 (collision #1410)
🌟 COLLISION! Prime 15233 at position 113 (collision #1411)
🌟 COLLISION! Prime 15241 at position 121 (collision #1412)
🌟 COLLISION! Prime 15259 at position 139 (collision #1413)
🌟 COLLISION! Prime 15263 at position 143 (collision #1414)
🌟 COLLISION! Prime 15269 at position 149 (collision #1415)
🌟 COLLISION! Prime 15271 at position 151 (collision #1416)
🌟 COLLISION! Prime 15277 at position 157 (collision #1417)
🌟 COLLISION! Prime 15287 at position 167 (collision #1418)
🌟 COLLISION! Prime 15289 at position 169 (collision #1419)
🌟 COLLISION! Prime 15299 at position 179 (collision #1420)
🌟 COLLISION! Prime 15307 at position 187 (collision #1421)
🌟 COLLISION! Prime 15313 at position 193 (collision #1422)
🌟 COLLISION! Prime 15319 at position 199 (collision #1423)
🌟 COLLISION! Prime 15329 at position 209 (collision #1424)
🌟 COLLISION! Prime 15331 at position 211 (collision #1425)
🌟 COLLISION! Prime 15349 at position 229 (collision #1426)
🌟 COLLISION! Prime 15359 at position 239 (collision #1427)
🌟 COLLISION! Prime 15361 at position 241 (collision #1428)
🌟 COLLISION! Prime 15373 at position 253 (collision #1429)
🌟 COLLISION! Prime 15377 at position 257 (collision #1430)
🌟 COLLISION! Prime 15383 at position 263 (collision #1431)
🌟 COLLISION! Prime 15391 at position 271 (collision #1432)
🌟 COLLISION! Prime 15401 at position 281 (collision #1433)
🌟 COLLISION! Prime 15413 at position 293 (collision #1434)
🌟 COLLISION! Prime 15427 at position 307 (collision #1435)
🌟 COLLISION! Prime 15439 at position 319 (collision #1436)
🌟 COLLISION! Prime 15443 at position 323 (collision #1437)
🌟 COLLISION! Prime 15451 at position 331 (collision #1438)
🌟 COLLISION! Prime 15461 at position 341 (collision #1439)
🌟 COLLISION! Prime 15467 at position 347 (collision #1440)
🌟 COLLISION! Prime 15473 at position 353 (collision #1441)
🌟 COLLISION! Prime 15493 at position 13 (collision #1442)
🌟 COLLISION! Prime 15497 at position 17 (collision #1443)
🌟 COLLISION! Prime 15511 at position 31 (collision #1444)
🌟 COLLISION! Prime 15527 at position 47 (collision #1445)
🌟 COLLISION! Prime 15541 at position 61 (collision #1446)
🌟 COLLISION! Prime 15551 at position 71 (collision #1447)
🌟 COLLISION! Prime 15559 at position 79 (collision #1448)
🌟 COLLISION! Prime 15569 at position 89 (collision #1449)
🌟 COLLISION! Prime 15581 at position 101 (collision #1450)
🌟 COLLISION! Prime 15583 at position 103 (collision #1451)
🌟 COLLISION! Prime 15601 at position 121 (collision #1452)
🌟 COLLISION! Prime 15607 at position 127 (collision #1453)
🌟 COLLISION! Prime 15619 at position 139 (collision #1454)
🌟 COLLISION! Prime 15629 at position 149 (collision #1455)
🌟 COLLISION! Prime 15641 at position 161 (collision #1456)
🌟 COLLISION! Prime 15643 at position 163 (collision #1457)
🌟 COLLISION! Prime 15647 at position 167 (collision #1458)
🌟 COLLISION! Prime 15649 at position 169 (collision #1459)
🌟 COLLISION! Prime 15661 at position 181 (collision #1460)
🌟 COLLISION! Prime 15667 at position 187 (collision #1461)
🌟 COLLISION! Prime 15671 at position 191 (collision #1462)
🌟 COLLISION! Prime 15679 at position 199 (collision #1463)
🌟 COLLISION! Prime 15683 at position 203 (collision #1464)
🌟 COLLISION! Prime 15727 at position 247 (collision #1465)
🌟 COLLISION! Prime 15731 at position 251 (collision #1466)
🌟 COLLISION! Prime 15733 at position 253 (collision #1467)
🌟 COLLISION! Prime 15737 at position 257 (collision #1468)
🌟 COLLISION! Prime 15739 at position 259 (collision #1469)
🌟 COLLISION! Prime 15749 at position 269 (collision #1470)
🌟 COLLISION! Prime 15761 at position 281 (collision #1471)
🌟 COLLISION! Prime 15767 at position 287 (collision #1472)
🌟 COLLISION! Prime 15773 at position 293 (collision #1473)
🌟 COLLISION! Prime 15787 at position 307 (collision #1474)
🌟 COLLISION! Prime 15791 at position 311 (collision #1475)
🌟 COLLISION! Prime 15797 at position 317 (collision #1476)
🌟 COLLISION! Prime 15803 at position 323 (collision #1477)
🌟 COLLISION! Prime 15809 at position 329 (collision #1478)
🌟 COLLISION! Prime 15817 at position 337 (collision #1479)
🌟 COLLISION! Prime 15823 at position 343 (collision #1480)
🌟 COLLISION! Prime 15859 at position 19 (collision #1481)
🌟 COLLISION! Prime 15877 at position 37 (collision #1482)
🌟 COLLISION! Prime 15881 at position 41 (collision #1483)
🌟 COLLISION! Prime 15887 at position 47 (collision #1484)
🌟 COLLISION! Prime 15889 at position 49 (collision #1485)
🌟 COLLISION! Prime 15901 at position 61 (collision #1486)
🌟 COLLISION! Prime 15907 at position 67 (collision #1487)
🌟 COLLISION! Prime 15913 at position 73 (collision #1488)
🌟 COLLISION! Prime 15919 at position 79 (collision #1489)
🌟 COLLISION! Prime 15923 at position 83 (collision #1490)
🌟 COLLISION! Prime 15937 at position 97 (collision #1491)
🌟 COLLISION! Prime 15959 at position 119 (collision #1492)
🌟 COLLISION! Prime 15971 at position 131 (collision #1493)
🌟 COLLISION! Prime 15973 at position 133 (collision #1494)
🌟 COLLISION! Prime 15991 at position 151 (collision #1495)
🌟 COLLISION! Prime 16001 at position 161 (collision #1496)
🌟 COLLISION! Prime 16007 at position 167 (collision #1497)
🌟 COLLISION! Prime 16033 at position 193 (collision #1498)
🌟 COLLISION! Prime 16057 at position 217 (collision #1499)
🌟 COLLISION! Prime 16061 at position 221 (collision #1500)
🌟 COLLISION! Prime 16063 at position 223 (collision #1501)
🌟 COLLISION! Prime 16067 at position 227 (collision #1502)
🌟 COLLISION! Prime 16069 at position 229 (collision #1503)
🌟 COLLISION! Prime 16073 at position 233 (collision #1504)
🌟 COLLISION! Prime 16087 at position 247 (collision #1505)
🌟 COLLISION! Prime 16091 at position 251 (collision #1506)
🌟 COLLISION! Prime 16097 at position 257 (collision #1507)
🌟 COLLISION! Prime 16103 at position 263 (collision #1508)
🌟 COLLISION! Prime 16111 at position 271 (collision #1509)
🌟 COLLISION! Prime 16127 at position 287 (collision #1510)
🌟 COLLISION! Prime 16139 at position 299 (collision #1511)
🌟 COLLISION! Prime 16141 at position 301 (collision #1512)
🌟 COLLISION! Prime 16183 at position 343 (collision #1513)
🌟 COLLISION! Prime 16187 at position 347 (collision #1514)
🌟 COLLISION! Prime 16189 at position 349 (collision #1515)
🌟 COLLISION! Prime 16193 at position 353 (collision #1516)
🌟 COLLISION! Prime 16217 at position 17 (collision #1517)
🌟 COLLISION! Prime 16223 at position 23 (collision #1518)
🌟 COLLISION! Prime 16229 at position 29 (collision #1519)
🌟 COLLISION! Prime 16231 at position 31 (collision #1520)
🌟 COLLISION! Prime 16249 at position 49 (collision #1521)
🌟 COLLISION! Prime 16253 at position 53 (collision #1522)
🌟 COLLISION! Prime 16267 at position 67 (collision #1523)
🌟 COLLISION! Prime 16273 at position 73 (collision #1524)
🌟 COLLISION! Prime 16301 at position 101 (collision #1525)
🌟 COLLISION! Prime 16319 at position 119 (collision #1526)
🌟 COLLISION! Prime 16333 at position 133 (collision #1527)
🌟 COLLISION! Prime 16339 at position 139 (collision #1528)
🌟 COLLISION! Prime 16349 at position 149 (collision #1529)
🌟 COLLISION! Prime 16361 at position 161 (collision #1530)
🌟 COLLISION! Prime 16363 at position 163 (collision #1531)
🌟 COLLISION! Prime 16369 at position 169 (collision #1532)
🌟 COLLISION! Prime 16381 at position 181 (collision #1533)
🌟 COLLISION! Prime 16411 at position 211 (collision #1534)
🌟 COLLISION! Prime 16417 at position 217 (collision #1535)
🌟 COLLISION! Prime 16421 at position 221 (collision #1536)
🌟 COLLISION! Prime 16427 at position 227 (collision #1537)
🌟 COLLISION! Prime 16433 at position 233 (collision #1538)
🌟 COLLISION! Prime 16447 at position 247 (collision #1539)
🌟 COLLISION! Prime 16451 at position 251 (collision #1540)
🌟 COLLISION! Prime 16453 at position 253 (collision #1541)
🌟 COLLISION! Prime 16477 at position 277 (collision #1542)
🌟 COLLISION! Prime 16481 at position 281 (collision #1543)
🌟 COLLISION! Prime 16487 at position 287 (collision #1544)
🌟 COLLISION! Prime 16493 at position 293 (collision #1545)
🌟 COLLISION! Prime 16519 at position 319 (collision #1546)
🌟 COLLISION! Prime 16529 at position 329 (collision #1547)
🌟 COLLISION! Prime 16547 at position 347 (collision #1548)
🌟 COLLISION! Prime 16553 at position 353 (collision #1549)
🌟 COLLISION! Prime 16561 at position 1 (collision #1550)
🌟 COLLISION! Prime 16567 at position 7 (collision #1551)
🌟 COLLISION! Prime 16573 at position 13 (collision #1552)
🌟 COLLISION! Prime 16603 at position 43 (collision #1553)
🌟 COLLISION! Prime 16607 at position 47 (collision #1554)
🌟 COLLISION! Prime 16631 at position 71 (collision #1555)
🌟 COLLISION! Prime 16633 at position 73 (collision #1556)
🌟 COLLISION! Prime 16649 at position 89 (collision #1557)
🌟 COLLISION! Prime 16651 at position 91 (collision #1558)
🌟 COLLISION! Prime 16657 at position 97 (collision #1559)
🌟 COLLISION! Prime 16661 at position 101 (collision #1560)
🌟 COLLISION! Prime 16673 at position 113 (collision #1561)
🌟 COLLISION! Prime 16691 at position 131 (collision #1562)
🌟 COLLISION! Prime 16693 at position 133 (collision #1563)
🌟 COLLISION! Prime 16699 at position 139 (collision #1564)
🌟 COLLISION! Prime 16703 at position 143 (collision #1565)
🌟 COLLISION! Prime 16729 at position 169 (collision #1566)
🌟 COLLISION! Prime 16741 at position 181 (collision #1567)
🌟 COLLISION! Prime 16747 at position 187 (collision #1568)
🌟 COLLISION! Prime 16759 at position 199 (collision #1569)
🌟 COLLISION! Prime 16763 at position 203 (collision #1570)
🌟 COLLISION! Prime 16787 at position 227 (collision #1571)
🌟 COLLISION! Prime 16811 at position 251 (collision #1572)
🌟 COLLISION! Prime 16823 at position 263 (collision #1573)
🌟 COLLISION! Prime 16829 at position 269 (collision #1574)
🌟 COLLISION! Prime 16831 at position 271 (collision #1575)
🌟 COLLISION! Prime 16843 at position 283 (collision #1576)
🌟 COLLISION! Prime 16871 at position 311 (collision #1577)
🌟 COLLISION! Prime 16879 at position 319 (collision #1578)
🌟 COLLISION! Prime 16883 at position 323 (collision #1579)
🌟 COLLISION! Prime 16889 at position 329 (collision #1580)
🌟 COLLISION! Prime 16901 at position 341 (collision #1581)
🌟 COLLISION! Prime 16903 at position 343 (collision #1582)
🌟 COLLISION! Prime 16921 at position 1 (collision #1583)
🌟 COLLISION! Prime 16927 at position 7 (collision #1584)
🌟 COLLISION! Prime 16931 at position 11 (collision #1585)
🌟 COLLISION! Prime 16937 at position 17 (collision #1586)
🌟 COLLISION! Prime 16943 at position 23 (collision #1587)
🌟 COLLISION! Prime 16963 at position 43 (collision #1588)
🌟 COLLISION! Prime 16979 at position 59 (collision #1589)
🌟 COLLISION! Prime 16981 at position 61 (collision #1590)
🌟 COLLISION! Prime 16987 at position 67 (collision #1591)
🌟 COLLISION! Prime 16993 at position 73 (collision #1592)
🌟 COLLISION! Prime 17011 at position 91 (collision #1593)
🌟 COLLISION! Prime 17021 at position 101 (collision #1594)
🌟 COLLISION! Prime 17027 at position 107 (collision #1595)
🌟 COLLISION! Prime 17029 at position 109 (collision #1596)
🌟 COLLISION! Prime 17033 at position 113 (collision #1597)
🌟 COLLISION! Prime 17041 at position 121 (collision #1598)
🌟 COLLISION! Prime 17047 at position 127 (collision #1599)
🌟 COLLISION! Prime 17053 at position 133 (collision #1600)
🌟 COLLISION! Prime 17077 at position 157 (collision #1601)
🌟 COLLISION! Prime 17099 at position 179 (collision #1602)
🌟 COLLISION! Prime 17107 at position 187 (collision #1603)
🌟 COLLISION! Prime 17117 at position 197 (collision #1604)
🌟 COLLISION! Prime 17123 at position 203 (collision #1605)
🌟 COLLISION! Prime 17137 at position 217 (collision #1606)
🌟 COLLISION! Prime 17159 at position 239 (collision #1607)
🌟 COLLISION! Prime 17167 at position 247 (collision #1608)
🌟 COLLISION! Prime 17183 at position 263 (collision #1609)
🌟 COLLISION! Prime 17189 at position 269 (collision #1610)
🌟 COLLISION! Prime 17191 at position 271 (collision #1611)
🌟 COLLISION! Prime 17203 at position 283 (collision #1612)
🌟 COLLISION! Prime 17207 at position 287 (collision #1613)
🌟 COLLISION! Prime 17231 at position 311 (collision #1614)
🌟 COLLISION! Prime 17239 at position 319 (collision #1615)
🌟 COLLISION! Prime 17257 at position 337 (collision #1616)
🌟 COLLISION! Prime 17291 at position 11 (collision #1617)
🌟 COLLISION! Prime 17293 at position 13 (collision #1618)
🌟 COLLISION! Prime 17299 at position 19 (collision #1619)
🌟 COLLISION! Prime 17317 at position 37 (collision #1620)
🌟 COLLISION! Prime 17321 at position 41 (collision #1621)
🌟 COLLISION! Prime 17327 at position 47 (collision #1622)
🌟 COLLISION! Prime 17333 at position 53 (collision #1623)
🌟 COLLISION! Prime 17341 at position 61 (collision #1624)
🌟 COLLISION! Prime 17351 at position 71 (collision #1625)
🌟 COLLISION! Prime 17359 at position 79 (collision #1626)
🌟 COLLISION! Prime 17377 at position 97 (collision #1627)
🌟 COLLISION! Prime 17383 at position 103 (collision #1628)
🌟 COLLISION! Prime 17387 at position 107 (collision #1629)
🌟 COLLISION! Prime 17389 at position 109 (collision #1630)
🌟 COLLISION! Prime 17393 at position 113 (collision #1631)
🌟 COLLISION! Prime 17401 at position 121 (collision #1632)
🌟 COLLISION! Prime 17417 at position 137 (collision #1633)
🌟 COLLISION! Prime 17419 at position 139 (collision #1634)
🌟 COLLISION! Prime 17431 at position 151 (collision #1635)
🌟 COLLISION! Prime 17443 at position 163 (collision #1636)
🌟 COLLISION! Prime 17449 at position 169 (collision #1637)
🌟 COLLISION! Prime 17467 at position 187 (collision #1638)
🌟 COLLISION! Prime 17471 at position 191 (collision #1639)
🌟 COLLISION! Prime 17477 at position 197 (collision #1640)
🌟 COLLISION! Prime 17483 at position 203 (collision #1641)
🌟 COLLISION! Prime 17489 at position 209 (collision #1642)
🌟 COLLISION! Prime 17491 at position 211 (collision #1643)
🌟 COLLISION! Prime 17497 at position 217 (collision #1644)
🌟 COLLISION! Prime 17509 at position 229 (collision #1645)
🌟 COLLISION! Prime 17519 at position 239 (collision #1646)
🌟 COLLISION! Prime 17539 at position 259 (collision #1647)
🌟 COLLISION! Prime 17551 at position 271 (collision #1648)
🌟 COLLISION! Prime 17569 at position 289 (collision #1649)
🌟 COLLISION! Prime 17573 at position 293 (collision #1650)
🌟 COLLISION! Prime 17579 at position 299 (collision #1651)
🌟 COLLISION! Prime 17581 at position 301 (collision #1652)
🌟 COLLISION! Prime 17597 at position 317 (collision #1653)
🌟 COLLISION! Prime 17599 at position 319 (collision #1654)
🌟 COLLISION! Prime 17609 at position 329 (collision #1655)
🌟 COLLISION! Prime 17623 at position 343 (collision #1656)
🌟 COLLISION! Prime 17627 at position 347 (collision #1657)
🌟 COLLISION! Prime 17657 at position 17 (collision #1658)
🌟 COLLISION! Prime 17659 at position 19 (collision #1659)
🌟 COLLISION! Prime 17669 at position 29 (collision #1660)
🌟 COLLISION! Prime 17681 at position 41 (collision #1661)
🌟 COLLISION! Prime 17683 at position 43 (collision #1662)
🌟 COLLISION! Prime 17707 at position 67 (collision #1663)
🌟 COLLISION! Prime 17713 at position 73 (collision #1664)
🌟 COLLISION! Prime 17729 at position 89 (collision #1665)
🌟 COLLISION! Prime 17737 at position 97 (collision #1666)
🌟 COLLISION! Prime 17747 at position 107 (collision #1667)
🌟 COLLISION! Prime 17749 at position 109 (collision #1668)
🌟 COLLISION! Prime 17761 at position 121 (collision #1669)
🌟 COLLISION! Prime 17783 at position 143 (collision #1670)
🌟 COLLISION! Prime 17789 at position 149 (collision #1671)
🌟 COLLISION! Prime 17791 at position 151 (collision #1672)
🌟 COLLISION! Prime 17807 at position 167 (collision #1673)
🌟 COLLISION! Prime 17827 at position 187 (collision #1674)
🌟 COLLISION! Prime 17837 at position 197 (collision #1675)
🌟 COLLISION! Prime 17839 at position 199 (collision #1676)
🌟 COLLISION! Prime 17851 at position 211 (collision #1677)
🌟 COLLISION! Prime 17863 at position 223 (collision #1678)
🌟 COLLISION! Prime 17881 at position 241 (collision #1679)
🌟 COLLISION! Prime 17891 at position 251 (collision #1680)
🌟 COLLISION! Prime 17903 at position 263 (collision #1681)
🌟 COLLISION! Prime 17909 at position 269 (collision #1682)
🌟 COLLISION! Prime 17911 at position 271 (collision #1683)
🌟 COLLISION! Prime 17921 at position 281 (collision #1684)
🌟 COLLISION! Prime 17923 at position 283 (collision #1685)
🌟 COLLISION! Prime 17929 at position 289 (collision #1686)
🌟 COLLISION! Prime 17939 at position 299 (collision #1687)
🌟 COLLISION! Prime 17957 at position 317 (collision #1688)
🌟 COLLISION! Prime 17959 at position 319 (collision #1689)
🌟 COLLISION! Prime 17971 at position 331 (collision #1690)
🌟 COLLISION! Prime 17977 at position 337 (collision #1691)
🌟 COLLISION! Prime 17981 at position 341 (collision #1692)
🌟 COLLISION! Prime 17987 at position 347 (collision #1693)
🌟 COLLISION! Prime 17989 at position 349 (collision #1694)
🌟 COLLISION! Prime 18013 at position 13 (collision #1695)
🌟 COLLISION! Prime 18041 at position 41 (collision #1696)
🌟 COLLISION! Prime 18043 at position 43 (collision #1697)
🌟 COLLISION! Prime 18047 at position 47 (collision #1698)
🌟 COLLISION! Prime 18049 at position 49 (collision #1699)
🌟 COLLISION! Prime 18059 at position 59 (collision #1700)
🌟 COLLISION! Prime 18061 at position 61 (collision #1701)
🌟 COLLISION! Prime 18089 at position 89 (collision #1702)
🌟 COLLISION! Prime 18097 at position 97 (collision #1703)
🌟 COLLISION! Prime 18119 at position 119 (collision #1704)
🌟 COLLISION! Prime 18121 at position 121 (collision #1705)
🌟 COLLISION! Prime 18127 at position 127 (collision #1706)
🌟 COLLISION! Prime 18131 at position 131 (collision #1707)
🌟 COLLISION! Prime 18133 at position 133 (collision #1708)
🌟 COLLISION! Prime 18143 at position 143 (collision #1709)
🌟 COLLISION! Prime 18149 at position 149 (collision #1710)
🌟 COLLISION! Prime 18169 at position 169 (collision #1711)
🌟 COLLISION! Prime 18181 at position 181 (collision #1712)
🌟 COLLISION! Prime 18191 at position 191 (collision #1713)
🌟 COLLISION! Prime 18199 at position 199 (collision #1714)
🌟 COLLISION! Prime 18211 at position 211 (collision #1715)
🌟 COLLISION! Prime 18217 at position 217 (collision #1716)
🌟 COLLISION! Prime 18223 at position 223 (collision #1717)
🌟 COLLISION! Prime 18229 at position 229 (collision #1718)
🌟 COLLISION! Prime 18233 at position 233 (collision #1719)
🌟 COLLISION! Prime 18251 at position 251 (collision #1720)
🌟 COLLISION! Prime 18253 at position 253 (collision #1721)
🌟 COLLISION! Prime 18257 at position 257 (collision #1722)
🌟 COLLISION! Prime 18269 at position 269 (collision #1723)
🌟 COLLISION! Prime 18287 at position 287 (collision #1724)
🌟 COLLISION! Prime 18289 at position 289 (collision #1725)
🌟 COLLISION! Prime 18301 at position 301 (collision #1726)
🌟 COLLISION! Prime 18307 at position 307 (collision #1727)
🌟 COLLISION! Prime 18311 at position 311 (collision #1728)
🌟 COLLISION! Prime 18313 at position 313 (collision #1729)
🌟 COLLISION! Prime 18329 at position 329 (collision #1730)
🌟 COLLISION! Prime 18341 at position 341 (collision #1731)
🌟 COLLISION! Prime 18353 at position 353 (collision #1732)
🌟 COLLISION! Prime 18367 at position 7 (collision #1733)
🌟 COLLISION! Prime 18371 at position 11 (collision #1734)
🌟 COLLISION! Prime 18379 at position 19 (collision #1735)
🌟 COLLISION! Prime 18397 at position 37 (collision #1736)
🌟 COLLISION! Prime 18401 at position 41 (collision #1737)
🌟 COLLISION! Prime 18413 at position 53 (collision #1738)
🌟 COLLISION! Prime 18427 at position 67 (collision #1739)
🌟 COLLISION! Prime 18433 at position 73 (collision #1740)
🌟 COLLISION! Prime 18439 at position 79 (collision #1741)
🌟 COLLISION! Prime 18443 at position 83 (collision #1742)
🌟 COLLISION! Prime 18451 at position 91 (collision #1743)
🌟 COLLISION! Prime 18457 at position 97 (collision #1744)
🌟 COLLISION! Prime 18461 at position 101 (collision #1745)
🌟 COLLISION! Prime 18481 at position 121 (collision #1746)
🌟 COLLISION! Prime 18493 at position 133 (collision #1747)
🌟 COLLISION! Prime 18503 at position 143 (collision #1748)
🌟 COLLISION! Prime 18517 at position 157 (collision #1749)
🌟 COLLISION! Prime 18521 at position 161 (collision #1750)
🌟 COLLISION! Prime 18523 at position 163 (collision #1751)
🌟 COLLISION! Prime 18539 at position 179 (collision #1752)
🌟 COLLISION! Prime 18541 at position 181 (collision #1753)
🌟 COLLISION! Prime 18553 at position 193 (collision #1754)
🌟 COLLISION! Prime 18583 at position 223 (collision #1755)
🌟 COLLISION! Prime 18587 at position 227 (collision #1756)
🌟 COLLISION! Prime 18593 at position 233 (collision #1757)
🌟 COLLISION! Prime 18617 at position 257 (collision #1758)
🌟 COLLISION! Prime 18637 at position 277 (collision #1759)
🌟 COLLISION! Prime 18661 at position 301 (collision #1760)
🌟 COLLISION! Prime 18671 at position 311 (collision #1761)
🌟 COLLISION! Prime 18679 at position 319 (collision #1762)
🌟 COLLISION! Prime 18691 at position 331 (collision #1763)
🌟 COLLISION! Prime 18701 at position 341 (collision #1764)
🌟 COLLISION! Prime 18713 at position 353 (collision #1765)
🌟 COLLISION! Prime 18731 at position 11 (collision #1766)
🌟 COLLISION! Prime 18743 at position 23 (collision #1767)
🌟 COLLISION! Prime 18749 at position 29 (collision #1768)
🌟 COLLISION! Prime 18757 at position 37 (collision #1769)
🌟 COLLISION! Prime 18773 at position 53 (collision #1770)
🌟 COLLISION! Prime 18787 at position 67 (collision #1771)
🌟 COLLISION! Prime 18793 at position 73 (collision #1772)
🌟 COLLISION! Prime 18797 at position 77 (collision #1773)
🌟 COLLISION! Prime 18803 at position 83 (collision #1774)
🌟 COLLISION! Prime 18839 at position 119 (collision #1775)
🌟 COLLISION! Prime 18859 at position 139 (collision #1776)
🌟 COLLISION! Prime 18869 at position 149 (collision #1777)
🌟 COLLISION! Prime 18899 at position 179 (collision #1778)
🌟 COLLISION! Prime 18911 at position 191 (collision #1779)
🌟 COLLISION! Prime 18913 at position 193 (collision #1780)
🌟 COLLISION! Prime 18917 at position 197 (collision #1781)
🌟 COLLISION! Prime 18919 at position 199 (collision #1782)
🌟 COLLISION! Prime 18947 at position 227 (collision #1783)
🌟 COLLISION! Prime 18959 at position 239 (collision #1784)
🌟 COLLISION! Prime 18973 at position 253 (collision #1785)
🌟 COLLISION! Prime 18979 at position 259 (collision #1786)
🌟 COLLISION! Prime 19001 at position 281 (collision #1787)
🌟 COLLISION! Prime 19009 at position 289 (collision #1788)
🌟 COLLISION! Prime 19013 at position 293 (collision #1789)
🌟 COLLISION! Prime 19031 at position 311 (collision #1790)
🌟 COLLISION! Prime 19037 at position 317 (collision #1791)
🌟 COLLISION! Prime 19051 at position 331 (collision #1792)
🌟 COLLISION! Prime 19069 at position 349 (collision #1793)
🌟 COLLISION! Prime 19073 at position 353 (collision #1794)
🌟 COLLISION! Prime 19079 at position 359 (collision #1795)
🌟 COLLISION! Prime 19081 at position 1 (collision #1796)
