n,is_prime,was_skipped,z1_score,z4_score
1,0,False,0,0
2,1,False,0,0
3,1,False,0.36638233542580845,0.09173699181218056
4,0,False,0.46493132197698644,0.19663940250762424
5,1,False,0.23246566098849322,0.09831970125381212
6,0,False,0.08149522458312985,0.19758861532669553
7,1,False,0.04074761229156493,0.09879430766334776
8,0,False,0.6513738592479626,0.5289855555531139
9,0,False,0.3256869296239813,0.26449277777655694
10,0,False,0.2171246197493209,0.17632851851770465
11,1,False,0.16284346481199066,0.13224638888827847
12,0,False,0.7871669632697272,0.793603419555139
13,1,False,0.3935834816348636,0.3968017097775695
14,0,False,0.08255156356863148,0.49023461298062926
15,0,False,0.04127578178431574,0.24511730649031463
16,0,False,0.027517187856210497,0.16341153766020977
17,1,False,0.02063789089215787,0.12255865324515731
18,0,False,0.0003372169208917545,0.5880858426863284
19,1,False,0.00016860846044587725,0.2940429213431642
20,0,False,0.7149851055886657,1.007342770934453
21,0,False,0.35749255279433284,0.5036713854672265
22,0,False,0.23832836852955522,0.3357809236448177
23,1,False,0.17874627639716642,0.2518356927336132
24,0,False,0.5404293075832926,0.9746407875640429
25,0,False,0.2702146537916463,0.48732039378202147
26,0,False,0.1801431025277642,0.32488026252134766
27,0,False,0.13510732689582314,0.24366019689101073
28,0,False,0.10808586151665851,0.1949281575128086
29,1,False,0.0900715512638821,0.16244013126067383
30,0,False,1.1600870788814308,1.6128875325965488
31,1,False,0.5800435394407154,0.8064437662982744
32,0,False,0.04412406873061661,0.866325889557783
33,0,False,0.022062034365308306,0.4331629447788915
34,0,False,0.014708022910205537,0.288775296519261
35,0,False,0.011031017182654153,0.21658147238944575
36,0,False,0.008824813746123322,0.1732651779115566
37,1,False,0.0073540114551027685,0.1443876482596305
38,0,False,0.44255245960847084,1.150159751663629
39,0,False,0.22127622980423542,0.5750798758318145
40,0,False,0.14751748653615696,0.3833865838878764
41,1,False,0.11063811490211771,0.28753993791590726
42,0,False,0.0707333064593622,1.0164649437651805
43,1,False,0.0353666532296811,0.5082324718825902
44,0,False,0.8662766331001949,1.5996817245776505
45,0,False,0.43313831655009744,0.7998408622888252
46,0,False,0.288758877700065,0.5332272415258835
47,1,False,0.21656915827504872,0.3999204311444126
48,0,False,0.39082001033003533,1.2466072166376292
49,0,False,0.19541000516501766,0.6233036083188146
50,0,False,0.13027333677667843,0.4155357388792097
51,0,False,0.09770500258250883,0.3116518041594073
52,0,False,0.07816400206600706,0.24932144332752584
53,1,False,0.06513666838833922,0.20776786943960485
54,0,False,0.7161501266633905,1.5921655139931488
55,0,False,0.35807506333169525,0.7960827569965744
56,0,False,0.23871670888779684,0.5307218379977162
57,0,False,0.17903753166584763,0.3980413784982872
58,0,False,0.1432300253326781,0.31843310279862974
59,1,False,0.11935835444389842,0.2653609189988581
60,0,False,1.0323352436748845,1.974988225428324
61,1,False,0.5161676218374422,0.987494112714162
62,0,False,2.0410837421667494,3.082189583680546
63,0,False,1.0205418710833747,1.541094791840273
64,0,False,0.6803612473889165,1.0273965278935153
65,0,False,0.5102709355416873,0.7705473959201365
66,0,False,0.40821674843334993,0.6164379167361093
67,1,False,0.34018062369445823,0.5136982639467577
68,0,True,2.36538351711997,3.5362354544192454
69,0,False,1.182691758559985,1.7681177272096227
70,0,False,0.7884611723733234,1.1787451514730818
71,1,False,0.5913458792799925,0.8840588636048113
72,0,True,1.5918817820127955,2.7221937501192746
73,1,False,0.7959408910063978,1.3610968750596373
74,0,False,0.02913700874842811,1.349666637158109
75,0,False,0.014568504374214055,0.6748333185790545
76,0,False,0.009712336249476037,0.449888879052703
77,0,False,0.0072842521871070275,0.33741665928952724
78,0,False,0.005827401749685622,0.2699333274316218
79,1,False,0.004856168124738019,0.2249444395263515
80,0,False,0.16517279993961362,1.4314960118536213
81,0,False,0.08258639996980681,0.7157480059268106
82,0,False,0.055057599979871204,0.4771653372845404
83,1,False,0.041293199984903405,0.3578740029634053
84,0,True,2.026812193663171,3.3648167717411197
85,0,False,1.0134060968315854,1.6824083858705599
86,0,False,0.6756040645543904,1.1216055905803732
87,0,False,0.5067030484157927,0.8412041929352799
88,0,False,0.40536243873263417,0.6729633543482239
89,1,False,0.3378020322771952,0.5608027952901866
90,0,True,2.195340845665993,3.634871553828522
91,0,False,1.0976704228329965,1.817435776914261
92,0,False,0.7317802818886644,1.2116238512761741
93,0,False,0.5488352114164983,0.9087178884571305
94,0,False,0.4390681691331987,0.7269743107657045
95,0,False,0.3658901409443322,0.6058119256380871
96,0,False,0.3136201208094276,0.519267364832646
97,1,False,0.27441760570824913,0.45435894422856526
98,0,False,0.4552404622255166,1.7522384385417475
99,0,False,0.2276202311127583,0.8761192192708738
100,0,False,0.15174682074183887,0.5840794795139159
101,1,False,0.11381011555637915,0.4380596096354369
102,0,True,2.4368937179841788,4.063713155448132
103,1,False,1.2184468589920894,2.031856577724066
104,0,False,0.5102174584632899,1.8414489110193182
105,0,False,0.25510872923164496,0.9207244555096591
106,0,False,0.17007248615443,0.613816303673106
107,1,False,0.12755436461582248,0.46036222775482954
108,0,True,2.511654125967132,4.221242906520018
109,1,False,1.255827062983566,2.110621453260009
110,0,False,0.5434256066988223,1.9115794858802253
111,0,False,0.27171280334941117,0.9557897429401127
112,0,False,0.18114186889960743,0.6371931619600751
113,1,False,0.13585640167470558,0.4778948714700563
114,0,True,2.557060818458455,4.3407006577875435
115,0,False,1.2785304092292276,2.1703503288937718
116,0,False,0.8523536061528183,1.4469002192625144
117,0,False,0.6392652046146138,1.0851751644468859
118,0,False,0.5114121636916911,0.8681401315575087
119,0,False,0.42617680307640915,0.7234501096312572
120,0,False,0.3652944026369222,0.620100093969649
121,0,False,0.3196326023073069,0.5425875822234429
122,0,False,0.28411786871760614,0.48230007308750483
123,0,False,0.25570608184584553,0.43407006577875434
124,0,False,0.23246007440531408,0.3946091507079585
125,0,False,0.21308840153820457,0.3617250548156286
126,0,False,0.19669698603526578,0.3339000505990418
127,1,False,0.1826472013184611,0.3100500469848245
128,0,False,0.5164508623603139,1.9959701838529729
129,0,False,0.25822543118015695,0.9979850919264864
130,0,False,0.17215028745343794,0.6653233946176575
131,1,False,0.12911271559007848,0.4989925459632432
132,0,True,2.527659266566612,4.4740419260619975
133,0,False,1.263829633283306,2.2370209630309987
134,0,False,0.8425530888555375,1.4913473086873323
135,0,False,0.631914816641653,1.1185104815154994
136,0,False,0.5055318533133224,0.8948083852123994
137,1,False,0.42127654442776874,0.7456736543436662
138,0,True,2.4662075749773478,4.445537293258256
139,1,False,1.2331037874886739,2.222768646629128
140,0,False,0.4033589529048808,1.9634316365413902
141,0,False,0.2016794764524404,0.9817158182706951
142,0,False,0.13445298430162692,0.6544772121804634
143,0,False,0.1008397382262202,0.49085790913534755
144,0,False,0.08067179058097616,0.39268632730827807
145,0,False,0.06722649215081346,0.3272386060902317
146,0,False,0.05762270755784012,0.2804902337916272
147,0,False,0.0504198691131101,0.24542895456767377
148,0,False,0.044817661433875645,0.21815907072682114
149,1,False,0.04033589529048808,0.19634316365413904
150,0,True,2.272406025689072,4.284636070588167
151,1,False,1.136203012844536,2.1423180352940836
152,0,False,0.22805109356518807,1.9059919744443137
153,0,False,0.11402554678259404,0.9529959872221568
154,0,False,0.07601703118839602,0.6353306581481045
155,0,False,0.05701277339129702,0.4764979936110784
156,0,False,0.045610218713037616,0.3811983948888627
157,1,False,0.03800851559419801,0.31766532907405226
158,0,False,0.12046437211893722,1.8907104421925602
159,0,False,0.06023218605946861,0.9453552210962801
160,0,False,0.04015479070631241,0.6302368140641867
161,0,False,0.030116093029734305,0.47267761054814006
162,0,False,0.024092874423787443,0.378142088438512
163,1,False,0.020077395353156204,0.3151184070320934
164,0,True,3.0971544915568163,5.5057110727682765
165,0,False,1.5485772457784082,2.7528555363841383
166,0,False,1.0323848305189387,1.8352370242560923
167,1,False,0.7742886228892041,1.3764277681920691
168,0,True,1.822749176579874,3.805520082498382
169,0,False,0.911374588289937,1.902760041249191
170,0,False,0.607583058859958,1.2685066941661274
171,0,False,0.4556872941449685,0.9513800206245955
172,0,False,0.36454983531597485,0.7611040164996764
173,1,False,0.303791529429979,0.6342533470830637
174,0,False,1.6362894708736948,3.591314497419849
175,0,False,0.8181447354368474,1.7956572487099245
176,0,False,0.5454298236245649,1.197104832473283
177,0,False,0.4090723677184237,0.8978286243549622
178,0,False,0.327257894174739,0.7182628994839698
179,1,False,0.27271491181228247,0.5985524162366415
180,0,False,1.4346979225321417,3.355892681653604
181,1,False,0.7173489612660708,1.677946340826802
182,0,True,2.506687966929479,4.825877746804105
183,0,False,1.2533439834647395,2.4129388734020525
184,0,False,0.8355626556431596,1.6086259156013685
185,0,False,0.6266719917323698,1.2064694367010262
186,0,False,0.5013375933858958,0.9651755493608211
187,0,False,0.4177813278215798,0.8043129578006842
188,0,False,0.3580982809899256,0.6894111066863008
189,0,False,0.3133359958661849,0.6032347183505131
190,0,False,0.27852088521438656,0.5362086385337895
191,1,False,0.2506687966929479,0.48258777468041053
192,0,False,0.9969485673253912,2.8478237145210956
193,1,False,0.4984742836626956,1.4239118572605478
194,0,False,2.0249287403610756,4.231623633359735
195,0,False,1.0124643701805378,2.1158118166798676
196,0,False,0.6749762467870252,1.4105412111199118
197,1,False,0.5062321850902689,1.0579059083399338
198,0,False,0.7678733880431604,2.5969680484757283
199,1,False,0.3839366940215802,1.2984840242378641
200,0,True,1.7628167552933933,3.901805689211411
201,0,False,0.8814083776466967,1.9509028446057055
202,0,False,0.5876055850977978,1.3006018964038037
203,0,False,0.44070418882334833,0.9754514223028528
204,0,False,0.3525633510586787,0.7803611378422822
205,0,False,0.2938027925488989,0.6503009482019019
206,0,False,0.2518309650419134,0.5574008127444873
207,0,False,0.22035209441167417,0.4877257111514264
208,0,False,0.1958685283659326,0.4335339654679346
209,0,False,0.17628167552933935,0.3901805689211411
210,0,False,0.16025606866303577,0.35470960811012825
211,1,False,0.14690139627444945,0.32515047410095094
212,0,False,1.2098554525727914,3.208696585869392
213,0,False,0.6049277262863957,1.604348292934696
214,0,False,0.4032851508575971,1.0695655286231307
215,0,False,0.30246386314319784,0.802174146467348
216,0,False,0.24197109051455826,0.6417393171738784
217,0,False,0.20164257542879854,0.5347827643115654
218,0,False,0.17283649322468447,0.45838522655277025
219,0,False,0.15123193157159892,0.401087073233674
220,0,False,0.13442838361919904,0.3565218428743769
221,0,False,0.12098554525727913,0.3208696585869392
